name,mass,mass err,radius,radius err,omega,omega err,CHZ
Kepler-186 f,1.71,0.066774469,1.17,0.08,0.007676832,7.38E-08,1
LHS 1140 b,6.65,1.82,1.43,0.1,5.253000349,5.31E-05,1
GJ 667 C c,3.8,1.35,1.5,0.45,0.879073205,0.001843117,1
GJ 667 C f,2.7,1.3,1.45,0.056621626,2.5,1.5,1
GJ 667 C e,2.7,1.5,1.45,0.056621626,0.627024422,0.005540865,1
Proxima Cen b,1.27,0.18,1.08,0.042173349,5.56409798,0.000746124,1
Kepler-442 b,2.36,0.092156577,1.34,0.145,0.099603492,2.31E-06,1
Kepler-1229 b,2.54,0.099185469,1.4,0.12,1.293407896,1.59E-05,1
Kepler-1652 b,3.19,0.124567577,1.6,0.18,2.279142389,1.26E-05,1
TRAPPIST-1 g,1.34,0.88,1.127,0.041,2.5,1.5,1
TRAPPIST-1 e,0.62,0.58,0.918,0.039,2.5,1.5,1
TRAPPIST-1 f,0.68,0.18,1.045,0.038,0.662519863,1.08E-06,1
Kepler-62 f,2.8,4.5,1.41,0.07,0.034444444,6.44E-07,1
Kepler-452 b,3.29,0.128472517,1.63,0.215,2.5,1.5,1
K2-3 d,7.5,3,1.51,0.23,8.636545516,0.001143533,1
K2-9 b,5.69,0.22219107,2.25,0.3725,2.415193119,0.000196359,1
tau Cet e,3.93,0.735,1.6,0.45,0.113279303,0.00053555,1
Kepler-296 e,2.96,0.115586216,1.53,0.26,4.770355435,3.49E-05,1
GJ 3323 b,2.02,0.255,1.23,0.048030759,6.365521292,0.00083076,1
TRAPPIST-1 d,0.41,0.27,0.772,0.03,1.324473221,2.06E-05,1
Ross 128 b,1.4,0.21,1.11,0.043344831,0.410469501,0.000291237,1
GJ 273 b,2.89,0.265,1.4,0.4,2.5,1.5,1
Wolf 1061 c,3.41,0.42,1.5,0.4,1.04352643,0.000344496,1
Kepler-438 b,1.46,0.05701212,1.12,0.165,0.507246151,3.89E-06,1
Kepler-62 e,4.5,8.4,1.6,0.05,0.287882494,1.88E-06,1
K2-72 e,2.21,0.086299168,1.29,0.135,5.065941004,0.000794316,1
Kepler-296 f,3.89,0.151902155,1.8,0.305,0.381438124,3.67E-06,1
Kepler-445 d,2.1,0.082003734,1.25,0.19,7.768700132,0.000381157,0
TRAPPIST-1 h,0.35,0.013667289,0.752,0.0315,2.5,1.5,0
GJ 3323 c,2.31,0.495,1.32,0.051545204,2.5,1.5,0
LHS 1140 c,1.81,0.39,1.282,0.024,2.5,1.5,0
K2-65 b,3.12,0.121834119,1.58,0.38,0.298709705,3.07E-05,0
K2-80 c,2.76,0.107776336,1.47,0.23,2.25646744,0.000442839,0
K2-147 b,2.48,0.096842505,1.38,0.16,5.826906064,0.000157498,0
Kepler-1340 b,3.02,0.117929179,1.55,0.485,1.446433176,3.48E-06,0
Kepler-1075 b,2.6,0.101528433,1.42,0.245,2.5,1.5,0
Kepler-757 b,2.42,0.094499541,1.36,0.34,2.5,1.5,0
Kepler-256 b,3.15,0.123005601,1.59,0.39,0.631091168,3.51E-06,0
